# t     n_CO      n_C      n_O       n_solidC    n_Mg      	n_Si      n_SiO    n_Mg2SiO4  ncritical_Cg     ncritical_Sig
11961050.00000 80535031.59758 8615.10179 40398744.33011 0.00000 399673.51395 0.00397 411240.58091 0.00000 0.00000 0.00000 
11962050.00000 80500389.29597 8611.39614 40381366.73133 0.00000 399501.59360 0.00397 411063.68497 0.00000 0.00000 0.00000 
11963050.00000 80465746.99436 8607.69049 40363989.13255 0.00000 399329.67326 0.00397 410886.78903 0.00000 0.00000 0.00000 
11964050.00000 80431104.69275 8603.98484 40346611.53376 0.00000 399157.75291 0.00397 410709.89309 0.00000 0.00000 0.00000 
11965050.00000 80396462.39113 8600.27920 40329233.93498 0.00000 398985.83257 0.00397 410532.99715 0.00000 0.00000 0.00000 
11966050.00000 80361820.08952 8596.57355 40311856.33620 0.00000 398813.91222 0.00397 410356.10121 0.00000 0.00000 0.00000 
11967050.00000 80327177.78791 8592.86790 40294478.73741 0.00000 398641.99188 0.00396 410179.20527 0.00000 0.00000 0.00000 
11968050.00000 80292535.48630 8589.16225 40277101.13863 0.00000 398470.07154 0.00396 410002.30933 0.00000 0.00000 0.00000 
11969050.00000 80257899.30750 8585.45726 40259726.61123 0.00000 398298.18158 0.00396 409825.44465 0.00000 0.00000 0.00000 
11970050.00000 80223287.16752 8581.75484 40242364.14241 0.00000 398126.41092 0.00396 409648.70273 0.00000 0.00000 0.00000 
11971050.00000 80188675.02754 8578.05242 40225001.67359 0.00000 397954.64026 0.00396 409471.96080 0.00000 0.00000 0.00000 
11972050.00000 80154062.88757 8574.34999 40207639.20477 0.00000 397782.86960 0.00395 409295.21888 0.00000 0.00000 0.00000 
11973050.00000 80119450.74759 8570.64757 40190276.73595 0.00000 397611.09894 0.00395 409118.47696 0.00000 0.00000 0.00000 
11974050.00000 80084838.60761 8566.94515 40172914.26713 0.00000 397439.32828 0.00395 408941.73503 0.00000 0.00000 0.00000 
11975050.00000 80050226.46764 8563.24273 40155551.79831 0.00000 397267.55762 0.00395 408764.99311 0.00000 0.00000 0.00000 
11976050.00000 80015614.32766 8559.54030 40138189.32949 0.00000 397095.78696 0.00395 408588.25118 0.00000 0.00000 0.00000 
11977050.00000 79981002.18768 8555.83788 40120826.86067 0.00000 396924.01630 0.00395 408411.50926 0.00000 0.00000 0.00000 
11978050.00000 79946390.04771 8552.13546 40103464.39185 0.00000 396752.24564 0.00394 408234.76733 0.00000 0.00000 0.00000 
11979050.00000 79911777.90773 8548.43303 40086101.92303 0.00000 396580.47498 0.00394 408058.02541 0.00000 0.00000 0.00000 
