# t     n_CO      n_C      n_O       n_solidC    n_Mg      	n_Si      n_SiO    n_Mg2SiO4  n_H    ncritical_Cg     ncritical_Sig
5814247.96753 296165896.43472 142.88187 2337991779.61133 0.00309 97.33235 0.01809 6036559.52167 6154045.78704 3921977584158.41602 2.00000 2.00000 
5815247.96753 295963767.91008 142.78667 2336396137.33002 0.00310 97.24163 0.01808 6032439.65349 6149845.76064 3921977584158.41602 2.00000 2.00000 
5816247.96753 295761679.01962 142.69148 2334800807.92869 0.00311 97.15097 0.01806 6028320.59317 6145646.55777 3921977584158.41602 2.00000 2.00000 
5817247.96753 295559730.51324 142.59636 2333206586.74689 0.00311 97.06041 0.01805 6024204.39423 6141450.27193 3921977584158.41602 2.00000 2.00000 
5818247.96753 295357782.00687 142.50123 2331612365.56512 0.00312 96.96991 0.01804 6020088.19533 6137253.98606 3921977584158.41602 2.00000 2.00000 
5819247.96753 295155833.50050 142.40610 2330018144.38337 0.00313 96.87947 0.01803 6015971.99645 6133057.70016 3921977584158.41602 2.00000 2.00000 
5820247.96753 294953884.99414 142.31096 2328423923.20164 0.00314 96.78908 0.01802 6011855.79760 6128861.41423 3921977584158.41602 2.00000 2.00000 
5821247.96753 294751959.59165 142.21583 2326829884.40648 0.00314 96.69875 0.01800 6007740.06969 6124665.60835 3921977584158.41602 2.00000 2.00000 
5822247.96753 294550188.17055 142.12078 2325237061.17060 0.00315 96.60853 0.01799 6003627.48031 6120473.00203 3921977584158.41602 2.00000 2.00000 
5823247.96753 294348416.74946 142.02571 2323644237.93475 0.00316 96.51837 0.01798 5999514.89096 6116280.39568 3921977584158.41602 2.00000 2.00000 
5824247.96753 294146645.32837 141.93064 2322051414.69893 0.00316 96.42826 0.01797 5995402.30164 6112087.78931 3921977584158.41602 2.00000 2.00000 
5825247.96753 293944873.90728 141.83557 2320458591.46312 0.00317 96.33820 0.01796 5991289.71234 6107895.18290 3921977584158.41602 2.00000 2.00000 
5826247.96753 293743108.80129 141.74050 2318865818.07988 0.00318 96.24821 0.01794 5987177.25179 6103702.70769 3921977584158.41602 2.00000 2.00000 
5827247.96753 293541511.50531 141.64550 2317274369.42189 0.00319 96.15832 0.01793 5983068.21163 6099513.71939 3921977584158.41602 2.00000 2.00000 
5828247.96753 293339914.20934 141.55050 2315682920.76392 0.00319 96.06849 0.01792 5978959.17149 6095324.73106 3921977584158.41602 2.00000 2.00000 
5829247.96753 293138316.91337 141.45549 2314091472.10597 0.00320 95.97871 0.01791 5974850.13139 6091135.74270 3921977584158.41602 2.00000 2.00000 
5830247.96753 292936719.61741 141.36048 2312500023.44805 0.00321 95.88899 0.01790 5970741.09131 6086946.75431 3921977584158.41602 2.00000 2.00000 
5831247.96753 292735122.32145 141.26546 2310908574.79015 0.00322 95.79933 0.01788 5966632.05126 6082757.76589 3921977584158.41602 2.00000 2.00000 
5832247.96753 292533688.01540 141.17052 2309318412.80654 0.00322 95.70977 0.01787 5962526.33336 6078572.16423 3921977584158.41602 2.00000 2.00000 
5833247.96753 292332264.54427 141.07558 2307728336.35603 0.00323 95.62027 0.01786 5958420.83632 6074386.78767 3921977584158.41602 2.00000 2.00000 
5834247.96753 292130841.07316 140.98063 2306138259.90554 0.00324 95.53083 0.01785 5954315.33931 6070201.41109 3921977584158.41602 2.00000 2.00000 
5835247.96753 291929417.60204 140.88568 2304548183.45507 0.00325 95.44144 0.01784 5950209.84233 6066016.03448 3921977584158.41602 2.00000 2.00000 
5836247.96753 291727994.13093 140.79073 2302958107.00462 0.00325 95.35210 0.01782 5946104.34538 6061830.65784 3921977584158.41602 2.00000 2.00000 
5837247.96753 291526722.07331 140.69584 2301369225.84197 0.00326 95.26287 0.01781 5942001.93461 6057648.42741 3921977584158.41602 2.00000 2.00000 
5838247.96753 291325480.00795 140.60097 2299780581.44413 0.00327 95.17370 0.01780 5937900.13519 6053466.82016 3921977584158.41602 2.00000 2.00000 
5839247.96753 291124237.94260 140.50609 2298191937.04630 0.00327 95.08459 0.01779 5933798.33580 6049285.21288 3921977584158.41602 2.00000 2.00000 
5840247.96753 290922995.87725 140.41121 2296603292.64851 0.00328 94.99553 0.01778 5929696.53643 6045103.60557 3921977584158.41602 2.00000 2.00000 
5841247.96753 290721753.81190 140.31632 2295014648.25073 0.00329 94.90653 0.01777 5925594.73709 6040921.99824 3921977584158.41602 2.00000 2.00000 
5842247.96753 290520637.68414 140.22148 2293426998.02898 0.00330 94.81762 0.01775 5921495.50468 6036743.00774 3921977584158.41602 2.00000 2.00000 
5843247.96753 290319568.83184 140.12667 2291839721.00905 0.00330 94.72878 0.01774 5917397.23588 6032564.99956 3921977584158.41602 2.00000 2.00000 
5844247.96753 290118499.97955 140.03185 2290252443.98914 0.00331 94.63999 0.01773 5913298.96711 6028386.99134 3921977584158.41602 2.00000 2.00000 
5845247.96753 289917431.12727 139.93703 2288665166.96925 0.00332 94.55126 0.01772 5909200.69837 6024208.98310 3921977584158.41602 2.00000 2.00000 
5846247.96753 289716362.27498 139.84220 2287077889.94939 0.00333 94.46258 0.01771 5905102.42965 6020030.97484 3921977584158.41602 2.00000 2.00000 
5847247.96753 289482830.42077 139.73170 2285234343.61362 0.00333 94.36338 0.01769 5900342.48846 6015178.41618 3921977584158.41602 2.00000 2.00000 
5848247.96753 289228981.99514 139.61139 2283230414.27114 0.00334 94.25761 0.01768 5895168.44768 6009903.69842 3921977584158.41602 2.00000 2.00000 
5849247.96753 288975133.56952 139.49107 2281226484.92869 0.00335 94.15191 0.01766 5889994.40693 6004628.98063 3921977584158.41602 2.00000 2.00000 
5850247.96753 288721285.14391 139.37075 2279222555.58627 0.00335 94.04628 0.01765 5884820.36622 5999354.26281 3921977584158.41602 2.00000 2.00000 
5851247.96753 288467436.71829 139.25043 2277218626.24388 0.00336 93.94071 0.01763 5879646.32554 5994079.54496 3921977584158.41602 2.00000 2.00000 
5852247.96753 288213696.38810 139.13015 2275215550.22798 0.00337 93.83525 0.01762 5874474.48813 5988807.07319 3921977584158.41602 2.00000 2.00000 
5853247.96753 287960064.77449 139.00992 2273213332.44207 0.00337 93.72989 0.01760 5869304.86665 5983536.86041 3921977584158.41602 2.00000 2.00000 
